url,popular_time
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Information about Popular Times
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 6 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 7 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 8 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 9 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38% busy at 10 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 11 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 12 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 1 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 2 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 3 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 4 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,4% busy at 5 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,9% busy at 6 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 7 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 8 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 9 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38% busy at 10 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 11 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 12 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 6 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 7 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 8 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 9 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,19% busy at 10 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 11 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 12 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,19% busy at 1 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 2 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 3 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 4 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 5 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 6 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,19% busy at 7 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 8 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38% busy at 9 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 10 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 11 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38% busy at 12 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 6 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 7 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 8 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 9 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 10 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,19% busy at 11 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,19% busy at 12 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,19% busy at 1 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,19% busy at 2 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 3 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38% busy at 4 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,66% busy at 5 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 6 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 7 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 8 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 9 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,9% busy at 10 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 11 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 12 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 6 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 7 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 8 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 9 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 10 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 11 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 12 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 1 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 2 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 3 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 4 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,76% busy at 5 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,61% busy at 6 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 7 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,42% busy at 8 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 9 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 10 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,42% busy at 11 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 12 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 6 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 7 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 8 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 9 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38% busy at 10 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 11 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 12 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,9% busy at 1 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 2 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 3 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 4 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 5 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,14% busy at 6 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 7 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,23% busy at 8 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 9 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 10 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,33% busy at 11 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 12 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 6 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 7 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 8 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 9 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,42% busy at 10 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,61% busy at 11 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 12 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 1 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,66% busy at 2 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,61% busy at 3 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 4 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 5 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 6 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 7 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 8 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 9 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 10 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,42% busy at 11 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,42% busy at 12 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,61% busy at 1 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 6 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 7 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 8 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,0% busy at 9 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 10 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 11 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 12 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,57% busy at 1 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,52% busy at 2 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 3 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,38% busy at 4 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 6 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,28% busy at 7 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,47% busy at 8 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,61% busy at 9 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,80% busy at 10 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,100% busy at 11 PM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,90% busy at 12 AM.
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,100% busy at 1 AM.
